title,text,summary,url,published_at,category,source
В США назвали Украину лабораторией новых систем вооружений,В США назвали Украину лабораторией новых систем вооружений,В США назвали Украину лабораторией новых систем вооружений,https://ria.ru/20260317/ukraina-2081289536.html,2026-03-17 16:24:40,Лента новостей,parsed_rss:ria
Захарова с иронией прокомментировала заявление Трампа о Макроне,Захарова с иронией прокомментировала заявление Трампа о Макроне,Захарова с иронией прокомментировала заявление Трампа о Макроне,https://ria.ru/20260317/zaharova-2081289308.html,2026-03-17 16:22:29,Лента новостей,parsed_rss:ria
"Банкротство физических лиц в 2025 году: порядок, стоимость и последствия","Банкротство физических лиц в 2025 году: порядок, стоимость и последствия","Банкротство физических лиц в 2025 году: порядок, стоимость и последствия",https://ria.ru/20260317/bankrotstvo-1600141843.html,2026-03-17 16:19:32,Лента новостей,parsed_rss:ria
"Смоленская область планирует ввести более 2,2 млн квадратных метров жилья","Смоленская область планирует ввести более 2,2 млн квадратных метров жилья","Смоленская область планирует ввести более 2,2 млн квадратных метров жилья",https://ria.ru/20260317/zhile-2081288916.html,2026-03-17 16:18:28,Лента новостей,parsed_rss:ria
"Байден без надобности потратил сотни миллиардов на Украину, заявил Трамп","Байден без надобности потратил сотни миллиардов на Украину, заявил Трамп","Байден без надобности потратил сотни миллиардов на Украину, заявил Трамп",https://ria.ru/20260317/tramp-2081288655.html,2026-03-17 16:17:24,Лента новостей,parsed_rss:ria
"Макрон очень скоро покинет свой пост, заявил Трамп","Макрон очень скоро покинет свой пост, заявил Трамп","Макрон очень скоро покинет свой пост, заявил Трамп",https://ria.ru/20260317/tramp-2081288483.html,2026-03-17 16:16:05,Лента новостей,parsed_rss:ria
В аэропорту Сочи ввели ограничения,В аэропорту Сочи ввели ограничения,В аэропорту Сочи ввели ограничения,https://ria.ru/20260317/ogranicheniya-2081288375.html,2026-03-17 16:15:51,Лента новостей,parsed_rss:ria
"Трамп заявил, что разочаровался в Стармере","Трамп заявил, что разочаровался в Стармере","Трамп заявил, что разочаровался в Стармере",https://ria.ru/20260317/tramp-2081288274.html,2026-03-17 16:14:02,Лента новостей,parsed_rss:ria
Трамп заявил о переносе визита в Китай,Трамп заявил о переносе визита в Китай,Трамп заявил о переносе визита в Китай,https://ria.ru/20260317/tramp-2081287882.html,2026-03-17 16:13:33,Лента новостей,parsed_rss:ria
"Трамп рассказал, когда США покинут Иран","Трамп рассказал, когда США покинут Иран","Трамп рассказал, когда США покинут Иран",https://ria.ru/20260317/tramp-2081288029.html,2026-03-17 16:13:22,Лента новостей,parsed_rss:ria
