title,text,summary,url,published_at,category,source
Путин помиловал 23 россиянки,Путин помиловал 23 россиянки,Путин помиловал 23 россиянки,https://lenta.ru/news/2026/03/17/vladimir-putin-podpisal-ukaz-o-pomilovanii-23-rossiyanok/,,,parsed_html:lenta
«Боролись с огнем более 30 часов». В Красном море произошел пожар на американском авианосце. Что известно?,«Боролись с огнем более 30 часов». В Красном море произошел пожар на американском авианосце. Что известно?,«Боролись с огнем более 30 часов». В Красном море произошел пожар на американском авианосце. Что известно?,https://lenta.ru/news/2026/03/17/borolis-s-ognem-bolee-30-chasov-v-krasnom-more-proizoshel-pozhar-na-amerikanskom-avianostse-chto-izvestno/,,,parsed_html:lenta
Устроившие теракт в «Крокусе» подали жалобы. Раскрыта реакция осужденных на приговоры,Устроившие теракт в «Крокусе» подали жалобы. Раскрыта реакция осужденных на приговоры,Устроившие теракт в «Крокусе» подали жалобы. Раскрыта реакция осужденных на приговоры,https://lenta.ru/news/2026/03/17/ustroivshie-terakt-v-krokuse-podali-zhaloby-raskryta-reaktsiya-osuzhdennyh-na-prigovory/,,,parsed_html:lenta
Пиарщица Calvin Klein и жена Кеннеди-младшего стала иконой стиля 1990-х. Почему в 2026-м ей вдруг начали подражать?,Пиарщица Calvin Klein и жена Кеннеди-младшего стала иконой стиля 1990-х. Почему в 2026-м ей вдруг начали подражать?,Пиарщица Calvin Klein и жена Кеннеди-младшего стала иконой стиля 1990-х. Почему в 2026-м ей вдруг начали подражать?,https://lenta.ru/news/2026/03/10/minimalizm/,,,parsed_html:lenta
"Миллионы людей не знают, что пережили «тихий» инфаркт. Он в разы увеличивает риск смерти. Как распознать опасность?","Миллионы людей не знают, что пережили «тихий» инфаркт. Он в разы увеличивает риск смерти. Как распознать опасность?","Миллионы людей не знают, что пережили «тихий» инфаркт. Он в разы увеличивает риск смерти. Как распознать опасность?",https://lenta.ru/news/2026/03/06/infarkt/,,,parsed_html:lenta
"Страсть к унижениям и повышенный риск проституции. Правда ли, что детские травмы влияют на взрослую сексуальность?","Страсть к унижениям и повышенный риск проституции. Правда ли, что детские травмы влияют на взрослую сексуальность?","Страсть к унижениям и повышенный риск проституции. Правда ли, что детские травмы влияют на взрослую сексуальность?",https://lenta.ru/news/2026/03/10/travmi/,,,parsed_html:lenta
Меган Фокс вернулась в соцсети после долгого перерыва и всколыхнула общественность. Почему ее внешность вызвала волну споров?,Меган Фокс вернулась в соцсети после долгого перерыва и всколыхнула общественность. Почему ее внешность вызвала волну споров?,Меган Фокс вернулась в соцсети после долгого перерыва и всколыхнула общественность. Почему ее внешность вызвала волну споров?,https://lenta.ru/news/2026/03/06/super-megan-foks/,,,parsed_html:lenta
"Миллионы россиян чувствуют себя больными, хотя их анализы в порядке. Что с ними происходит?","Миллионы россиян чувствуют себя больными, хотя их анализы в порядке. Что с ними происходит?","Миллионы россиян чувствуют себя больными, хотя их анализы в порядке. Что с ними происходит?",https://lenta.ru/news/2026/03/03/smchstv/,,,parsed_html:lenta
«Началась бы ядерная война». Трамп придумал оправдание нападению на Иран,«Началась бы ядерная война». Трамп придумал оправдание нападению на Иран,«Началась бы ядерная война». Трамп придумал оправдание нападению на Иран,https://lenta.ru/news/2026/03/17/nachalas-by-yadernaya-voyna-tramp-pridumal-opravdanie-napadeniyu-na-iran/,,,parsed_html:lenta
Орбан предупредил о подготовке Европы к войне с Россией. Где премьер Венгрии увидел будущие поля сражений?,Орбан предупредил о подготовке Европы к войне с Россией. Где премьер Венгрии увидел будущие поля сражений?,Орбан предупредил о подготовке Европы к войне с Россией. Где премьер Венгрии увидел будущие поля сражений?,https://lenta.ru/news/2026/03/17/orban-predupredil-o-podgotovke-evropy-k-voyne-s-rossiey-gde-premier-vengrii-uvidel-buduschie-polya-srazheniy/,,,parsed_html:lenta
